treatment,time,n_at_risk,n_deaths,n_censored,qx,px,lx,hx,km_lx,se_km,km_ci_lo,km_ci_hi,na_H,na_se,na_ci_lo,na_ci_hi
Male/20x,1585.1091666666666,549,57,0,0.10382513661202186,0.8961748633879781,0.5472747497219134,0.0024963356967136066,0.5472747497219134,0.016601228161233262,0.5147363425258962,0.5798131569179306,0.5821268330944507,0.02921242726846116,0.5248704756482668,0.6393831905406345
Male/20x,1628.9775,492,46,0,0.09349593495934959,0.9065040650406504,0.496106785317019,0.0020766068024146373,0.496106785317019,0.01667542812319052,0.4634229461955656,0.5287906244384725,0.6756227680538003,0.03230167635036752,0.6123114824070799,0.7389340537005207
Male/20x,1676.2088888888889,446,80,0,0.17937219730941703,0.820627802690583,0.4071190211345941,0.0025872134842979577,0.4071190211345941,0.016385685299055795,0.37500307794844473,0.43923496432074344,0.8549949653632173,0.03802075893033959,0.7804742778597517,0.9295156528666829
Male/20x,1752.3697222222222,366,86,0,0.23497267759562843,0.7650273224043715,0.31145717463848727,0.006063320335318849,0.31145717463848727,0.01544488939614213,0.2811851914220487,0.34172915785492586,1.0899676429588456,0.04569004225203971,1.0004151601448479,1.1795201257728434
Male/20x,1796.2819444444444,280,134,1,0.4785714285714286,0.5214285714285714,0.1624026696329255,0.011836771800216224,0.1624026696329255,0.012300828920630556,0.1382930449484896,0.18651229431736138,1.5685390715302743,0.06161788404726798,1.447768018797629,1.6893101242629196
Male/20x,1849.4305555555554,145,77,0,0.5310344827586206,0.46896551724137936,0.07616125196578576,0.00976399298281691,0.07616125196578576,0.008864299015407109,0.058787225895587825,0.09353527803598369,2.099573554288895,0.08636591001146356,1.9302963706664267,2.2688507379113636
Male/20x,1923.478611111111,68,29,0,0.4264705882352941,0.5735294117647058,0.04368071803920065,0.012828801790527141,0.04368071803920065,0.006834523886817276,0.03028505122103879,0.05707638485736251,2.526044142524189,0.11717805558075314,2.2963751535859127,2.7557131314624654
Male/20x,1965.7316666666666,39,14,0,0.358974358974359,0.641025641025641,0.028000460281538877,0.00928458581904785,0.028000460281538877,0.005518322890399219,0.01718454741635641,0.038816373146721345,2.885018501498548,0.1514436114618849,2.588189023033254,3.1818479799638424
Male/20x,2012.8527777777776,25,5,0,0.2,0.8,0.0224003682252311,0.0018025081901465912,0.0224003682252311,0.004950451795623303,0.012697482705809428,0.032103253744652775,3.0850185014985483,0.1758839601914238,2.740285939523358,3.4297510634737387
Male/20x,2136.1377777777775,20,0,20,0.0,1.0,0.0224003682252311,0.0,0.0224003682252311,0.004950451795623303,0.012697482705809428,0.032103253744652775,3.0850185014985483,0.1758839601914238,2.740285939523358,3.4297510634737387
Male/40x,119.625,1900,0,6,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Male/40x,164.13055555555556,1894,8,0,0.004223864836325237,0.9957761351636748,0.9957761351636748,5.762837621244701e-05,0.9957761351636748,0.0014902045177899049,0.9928553343088066,0.998696936018543,0.004223864836325237,0.001493361734290491,0.0012968758371158752,0.007150853835534599
Male/40x,237.58055555555555,1886,8,0,0.0042417815482502655,0.9957582184517497,0.9915522703273496,8.930714899820545e-05,0.9915522703273496,0.002102992981557372,0.9874304040834971,0.9956741365712021,0.008465646384575504,0.0021164163360094476,0.0043174703659969865,0.01261382240315402
